Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-30 15:46:00,15:46:00,CNR2552208977,Success,CID286293,Bike,RT Nagar,Shantinagar,63,125,,,No,,1614,UPI,46,4.8,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-29 12:29:00,12:29:00,CNR7908513875,Driver Not Found,CID713684,Auto,Ramamurthy Nagar,Varthur,,,,,,,520,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-14 22:05:00,22:05:00,CNR9759420504,Canceled by Driver,CID599978,eBike,Nagarbhavi,Malleshwaram,,,,More than permitted people in there,,,187,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 20:02:00,20:02:00,CNR7780222247,Success,CID719335,Prime Plus,Electronic City,Banashankari,126,50,,,No,,203,Cash,39,4,3.6,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-15 03:40:00,03:40:00,CNR2030654032,Success,CID769169,Bike,Kadugodi,MG Road,308,115,,,No,,489,Cash,30,4.6,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-30 18:24:00,18:24:00,CNR7416025625,Canceled by Driver,CID446733,Prime Sedan,Hulimavu,KR Puram,,,,Customer was coughing/sick,,,892,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-25 10:39:00,10:39:00,CNR5172634805,Success,CID794266,Auto,Langford Town,Sahakar Nagar,175,40,,,No,,837,UPI,4,4.3,4.7,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-10 12:53:00,12:53:00,CNR4100827874,Success,CID321449,Prime Sedan,Padmanabhanagar,JP Nagar,42,65,,,No,,148,Cash,22,4.5,4.4,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-19 01:15:00,01:15:00,CNR9587036111,Success,CID967265,Auto,RT Nagar,Sarjapur Road,182,95,,,No,,279,Cash,5,4.1,4.7,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-05 07:47:00,07:47:00,CNR1545381292,Success,CID651789,Prime Sedan,Cox Town,BTM Layout,56,130,,,No,,943,Cash,42,4.8,3.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-19 17:54:00,17:54:00,CNR4476942999,Canceled by Driver,CID408071,Prime Plus,Frazer Town,Whitefield,,,,More than permitted people in there,,,1985,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-14 22:43:00,22:43:00,CNR3580096408,Success,CID604536,Auto,Marathahalli,Langford Town,238,130,,,No,,486,Credit Card,11,3.1,4.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-25 14:41:00,14:41:00,CNR3190670991,Canceled by Customer,CID718977,Prime Plus,KR Puram,KR Puram,,,Driver asked to cancel,,,,2887,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-06 08:58:00,08:58:00,CNR7225701511,Success,CID196729,Prime Sedan,Electronic City,Shantinagar,238,140,,,No,,303,UPI,47,4,3.4,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-25 10:00:00,10:00:00,CNR9140555384,Canceled by Driver,CID578046,Mini,Shantinagar,Indiranagar,,,,Personal & Car related issue,,,466,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-23 09:39:00,09:39:00,CNR9623351863,Success,CID720534,eBike,HSR Layout,Hennur,63,85,,,No,,257,Cash,43,4.2,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-06 18:37:00,18:37:00,CNR3322911120,Canceled by Driver,CID206546,Prime SUV,Hosur Road,Rajajinagar,,,,Personal & Car related issue,,,432,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-22 02:43:00,02:43:00,CNR3014001436,Success,CID884507,Auto,Varthur,Bannerghatta Road,259,140,,,No,,915,Cash,16,3.6,3.1,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-24 07:29:00,07:29:00,CNR2804683044,Canceled by Driver,CID224601,Prime Plus,Koramangala,Peenya,,,,Customer related issue,,,472,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-14 15:54:00,15:54:00,CNR8504594176,Canceled by Customer,CID262372,Auto,Shantinagar,Mysore Road,,,Driver is not moving towards pickup location,,,,212,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-25 03:13:00,03:13:00,CNR5538529973,Success,CID587835,Prime SUV,Whitefield,HSR Layout,126,65,,,No,,411,UPI,33,3.3,3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-23 16:23:00,16:23:00,CNR5649972726,Success,CID136821,Prime SUV,RT Nagar,Yeshwanthpur,98,105,,,No,,807,Credit Card,3,4.7,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-26 19:09:00,19:09:00,CNR5271797622,Canceled by Driver,CID601359,Mini,Sarjapur Road,Hulimavu,,,,More than permitted people in there,,,822,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-04 20:00:00,20:00:00,CNR1615526760,Canceled by Customer,CID306085,Bike,Frazer Town,Banashankari,,,AC is Not working,,,,419,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-20 07:54:00,07:54:00,CNR7334902488,Canceled by Customer,CID568558,Mini,Hennur,Cox Town,,,Driver asked to cancel,,,,157,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-29 16:46:00,16:46:00,CNR5180141101,Success,CID119847,Auto,Sarjapur Road,Mysore Road,105,70,,,Yes,Vehicle Breakdown,492,Cash,1,3.5,3.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-24 04:39:00,04:39:00,CNR8562176172,Success,CID384686,Prime Plus,Frazer Town,Magadi Road,77,30,,,Yes,Other Issue,483,UPI,49,4.7,3.8,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-17 00:09:00,00:09:00,CNR9289025809,Driver Not Found,CID478548,Bike,Langford Town,Ramamurthy Nagar,,,,,,,388,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-20 05:47:00,05:47:00,CNR4074341858,Success,CID290956,Bike,Frazer Town,Bannerghatta Road,42,30,,,No,,427,UPI,13,3.8,3.7,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-19 22:04:00,22:04:00,CNR9340172553,Driver Not Found,CID791806,Prime SUV,Kadugodi,Frazer Town,,,,,,,312,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-19 01:35:00,01:35:00,CNR1675495798,Canceled by Driver,CID362268,Mini,Mysore Road,Ramamurthy Nagar,,,,Personal & Car related issue,,,856,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-05 23:49:00,23:49:00,CNR8725713671,Success,CID299060,Prime SUV,Chamarajpet,Ramamurthy Nagar,280,130,,,No,,793,UPI,39,3.1,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-15 01:38:00,01:38:00,CNR6551242669,Success,CID392459,Auto,Devanahalli,Yeshwanthpur,252,45,,,No,,455,UPI,4,3.1,3.2,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-16 22:42:00,22:42:00,CNR7814437006,Success,CID699138,Bike,Basavanagudi,Electronic City,119,115,,,No,,585,Cash,3,3.3,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-02 03:44:00,03:44:00,CNR6493920308,Success,CID363066,Bike,Mysore Road,Electronic City,91,105,,,No,,119,Cash,31,4.8,3.5,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-01 11:29:00,11:29:00,CNR7885653859,Success,CID842329,Bike,Electronic City,Frazer Town,182,125,,,Yes,Customer Demand,149,Cash,8,4.4,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-22 13:03:00,13:03:00,CNR4658693911,Success,CID853471,eBike,Varthur,Hebbal,308,65,,,No,,368,Cash,47,3.5,4.3,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-19 20:33:00,20:33:00,CNR5513408397,Success,CID338463,Auto,Yelahanka,KR Puram,140,145,,,No,,169,UPI,12,3.6,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-07 21:39:00,21:39:00,CNR3473685209,Success,CID347375,Auto,BTM Layout,Yeshwanthpur,252,105,,,No,,2857,Cash,10,3.4,4.1,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-29 16:47:00,16:47:00,CNR4641069667,Success,CID761005,Auto,BTM Layout,Rajarajeshwari Nagar,154,65,,,No,,304,UPI,7,3.2,4.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-03 02:04:00,02:04:00,CNR5889289472,Success,CID372613,eBike,RT Nagar,Ramamurthy Nagar,175,75,,,No,,205,Cash,48,4.3,3.9,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-13 02:31:00,02:31:00,CNR5273020918,Canceled by Driver,CID456493,Mini,Chickpet,Padmanabhanagar,,,,Personal & Car related issue,,,392,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-28 23:04:00,23:04:00,CNR5337568898,Success,CID960247,Mini,Koramangala,Electronic City,175,135,,,No,,248,UPI,10,4,3.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-18 19:05:00,19:05:00,CNR6410920483,Canceled by Driver,CID350764,Prime Sedan,Shantinagar,RT Nagar,,,,More than permitted people in there,,,232,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-19 12:59:00,12:59:00,CNR5837195140,Success,CID384891,Bike,Jayanagar,Indiranagar,217,135,,,No,,378,Cash,7,4,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-07 13:29:00,13:29:00,CNR1537486189,Driver Not Found,CID771037,Mini,Chickpet,BTM Layout,,,,,,,461,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-09 11:31:00,11:31:00,CNR8041328823,Success,CID675079,Prime SUV,JP Nagar,HSR Layout,273,65,,,No,,488,Cash,48,4.9,4.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-30 07:15:00,07:15:00,CNR9889045481,Success,CID371000,Mini,Kadugodi,Ulsoor,119,100,,,No,,434,Credit Card,24,4.1,4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-12 12:09:00,12:09:00,CNR4149613990,Canceled by Driver,CID908444,Prime Sedan,Electronic City,Hebbal,,,,Personal & Car related issue,,,348,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-13 21:47:00,21:47:00,CNR5298789575,Success,CID604166,Prime Plus,Tumkur Road,Koramangala,126,145,,,No,,209,Cash,19,3.1,4.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-03 22:26:00,22:26:00,CNR2054708564,Success,CID913119,Prime SUV,Kengeri,Frazer Town,63,90,,,No,,199,UPI,12,4.6,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-10 13:27:00,13:27:00,CNR9750609172,Driver Not Found,CID311367,Prime Sedan,Bannerghatta Road,Bellandur,,,,,,,114,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-20 05:06:00,05:06:00,CNR2070064977,Canceled by Customer,CID725086,Auto,Rajarajeshwari Nagar,Sahakar Nagar,,,Change of plans,,,,256,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-23 18:30:00,18:30:00,CNR4225674145,Canceled by Customer,CID529338,Bike,Banashankari,Ramamurthy Nagar,,,Change of plans,,,,432,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-21 13:42:00,13:42:00,CNR2578725748,Success,CID229005,Prime Plus,Langford Town,Vijayanagar,203,125,,,No,,933,Cash,3,4.8,4.8,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-11 15:36:00,15:36:00,CNR1213389621,Canceled by Driver,CID280642,Auto,Hosur Road,Marathahalli,,,,Customer related issue,,,685,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-06 19:35:00,19:35:00,CNR5785973773,Canceled by Customer,CID694313,eBike,Basavanagudi,Yeshwanthpur,,,Change of plans,,,,407,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-13 07:24:00,07:24:00,CNR2500017571,Canceled by Customer,CID673657,Prime Plus,Peenya,Padmanabhanagar,,,Driver asked to cancel,,,,338,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-16 04:58:00,04:58:00,CNR8223901521,Success,CID984854,Prime Sedan,Electronic City,Padmanabhanagar,287,120,,,No,,365,UPI,17,4.8,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-16 02:20:00,02:20:00,CNR7579571935,Success,CID723608,Bike,Majestic,Koramangala,49,30,,,No,,123,UPI,44,4.4,4.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-12 16:52:00,16:52:00,CNR9187854949,Success,CID351058,Auto,Malleshwaram,Malleshwaram,168,45,,,No,,158,UPI,5,3.5,4.5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-12 16:55:00,16:55:00,CNR1286354258,Success,CID233874,Bike,Koramangala,Kammanahalli,245,95,,,No,,211,Cash,6,4.2,4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-21 20:21:00,20:21:00,CNR3182061903,Success,CID259003,Prime Plus,Koramangala,Magadi Road,126,105,,,No,,932,Cash,18,4.7,3.4,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-04 12:41:00,12:41:00,CNR5748759112,Success,CID174061,Prime Sedan,Shantinagar,Basavanagudi,42,45,,,No,,284,UPI,45,4.6,3.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-11 16:34:00,16:34:00,CNR4516784377,Success,CID834011,Prime Plus,KR Puram,BTM Layout,63,105,,,No,,138,UPI,6,4.8,3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-18 20:36:00,20:36:00,CNR4489989702,Success,CID171465,Bike,Indiranagar,Bannerghatta Road,308,25,,,No,,835,Cash,49,3.9,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-23 21:07:00,21:07:00,CNR7957045972,Driver Not Found,CID508828,Prime Plus,Jayanagar,Sarjapur Road,,,,,,,396,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-17 23:40:00,23:40:00,CNR3848474559,Success,CID827576,Prime SUV,Hebbal,Basavanagudi,189,35,,,No,,544,Cash,15,4.5,4.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-11 20:55:00,20:55:00,CNR8718400349,Success,CID646230,Auto,Tumkur Road,Vijayanagar,203,130,,,No,,282,UPI,9,4.2,3.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-19 07:31:00,07:31:00,CNR8137144788,Success,CID586547,Prime Sedan,Frazer Town,Hulimavu,238,70,,,No,,359,UPI,29,4.2,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-16 07:01:00,07:01:00,CNR1878033393,Success,CID218145,Bike,Frazer Town,Bannerghatta Road,105,50,,,No,,1641,UPI,39,3.9,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-18 11:24:00,11:24:00,CNR5378160129,Canceled by Driver,CID961122,Auto,Hulimavu,Bellandur,,,,Customer was coughing/sick,,,471,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-21 01:54:00,01:54:00,CNR7989065511,Success,CID108099,eBike,Richmond Town,Banashankari,308,60,,,No,,959,UPI,37,3.9,3.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-28 18:03:00,18:03:00,CNR4863210848,Canceled by Driver,CID949243,Mini,Hennur,Malleshwaram,,,,Customer was coughing/sick,,,207,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-25 07:12:00,07:12:00,CNR2979916892,Canceled by Customer,CID593775,Mini,Yelahanka,Bellandur,,,Driver is not moving towards pickup location,,,,290,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-22 10:41:00,10:41:00,CNR2782419097,Success,CID729641,Prime Plus,Mysore Road,Cox Town,98,25,,,No,,167,Cash,7,4.5,3.7,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-27 23:14:00,23:14:00,CNR9090558620,Success,CID824674,Prime SUV,Ulsoor,RT Nagar,308,25,,,No,,223,UPI,36,3.8,3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-02 17:17:00,17:17:00,CNR6993432635,Success,CID273500,Prime SUV,Hosur Road,Koramangala,266,100,,,No,,348,UPI,18,3.9,4.7,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-22 15:21:00,15:21:00,CNR6366779103,Success,CID325324,eBike,Kengeri,MG Road,294,80,,,No,,189,Cash,33,3.9,4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-22 12:50:00,12:50:00,CNR7306885447,Driver Not Found,CID888953,Auto,Mysore Road,Shivajinagar,,,,,,,127,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-13 10:40:00,10:40:00,CNR4343081242,Success,CID625717,Prime Sedan,Peenya,Bellandur,301,75,,,No,,1795,Cash,7,3,3.9,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-02 13:01:00,13:01:00,CNR4201549094,Canceled by Driver,CID288812,Prime SUV,Hennur,Rajajinagar,,,,Customer was coughing/sick,,,687,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-01 21:52:00,21:52:00,CNR9387325656,Success,CID550581,eBike,Magadi Road,Nagarbhavi,56,25,,,No,,1086,UPI,11,3.6,3.3,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-13 12:02:00,12:02:00,CNR7628673555,Success,CID123834,Prime Plus,Hulimavu,Whitefield,175,135,,,No,,168,Cash,47,3.4,3.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-27 14:08:00,14:08:00,CNR8209433694,Driver Not Found,CID525444,Mini,Frazer Town,Ulsoor,,,,,,,458,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-28 18:32:00,18:32:00,CNR6817284607,Success,CID379432,Auto,Varthur,Padmanabhanagar,210,105,,,No,,329,Cash,11,3.7,3.5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-08 01:38:00,01:38:00,CNR7140812907,Success,CID976626,Bike,Hosur Road,Richmond Town,133,35,,,No,,457,Cash,38,4.6,3.6,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-14 02:31:00,02:31:00,CNR6326701176,Canceled by Customer,CID998917,Prime Plus,Sahakar Nagar,Indiranagar,,,Driver is not moving towards pickup location,,,,305,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-22 12:01:00,12:01:00,CNR9909920427,Success,CID389633,Mini,MG Road,Nagarbhavi,126,125,,,No,,182,UPI,17,4.2,4.6,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-28 08:24:00,08:24:00,CNR2135685542,Success,CID144610,Auto,Nagarbhavi,Padmanabhanagar,280,110,,,No,,294,Cash,18,4.1,4.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-10 21:13:00,21:13:00,CNR2374404054,Success,CID609061,Prime SUV,Chamarajpet,Majestic,182,110,,,No,,419,Cash,38,3.4,4.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-22 10:57:00,10:57:00,CNR6794448966,Canceled by Driver,CID492781,Auto,Ramamurthy Nagar,JP Nagar,,,,Personal & Car related issue,,,1639,,0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-11 08:58:00,08:58:00,CNR9312835654,Success,CID210712,Bike,Electronic City,Vijayanagar,182,115,,,Yes,Customer Demand,220,Cash,1,3,4.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-12 14:08:00,14:08:00,CNR5834824413,Canceled by Driver,CID299622,Prime Plus,BTM Layout,Chamarajpet,,,,Customer related issue,,,163,,0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-12 01:59:00,01:59:00,CNR2963031471,Canceled by Driver,CID792134,Prime Sedan,Hosur Road,KR Puram,,,,Personal & Car related issue,,,396,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-02 16:56:00,16:56:00,CNR6560369988,Success,CID922189,Prime SUV,Sahakar Nagar,Hebbal,105,50,,,No,,982,Cash,49,4.4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-11 06:47:00,06:47:00,CNR2037559310,Driver Not Found,CID196927,Prime SUV,Shivajinagar,Whitefield,,,,,,,822,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-15 08:46:00,08:46:00,CNR9964834495,Success,CID926421,Prime Plus,Malleshwaram,JP Nagar,35,145,,,No,,235,UPI,24,4.5,3.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-02 13:09:00,13:09:00,CNR5218323751,Canceled by Driver,CID883698,Bike,Bellandur,Hulimavu,,,,Customer was coughing/sick,,,336,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-01 13:22:00,13:22:00,CNR9680198873,Canceled by Customer,CID653299,eBike,Hebbal,Shivajinagar,,,Wrong Address,,,,127,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-23 07:05:00,07:05:00,CNR2347620895,Success,CID577158,eBike,Padmanabhanagar,Jayanagar,105,120,,,No,,353,Cash,32,3.8,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-24 22:20:00,22:20:00,CNR4883936637,Success,CID603415,eBike,Padmanabhanagar,Jayanagar,147,55,,,No,,188,Cash,44,4.4,4.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-19 23:07:00,23:07:00,CNR2976091323,Success,CID976944,Auto,Mysore Road,Kammanahalli,140,40,,,No,,2763,Cash,3,3.6,3.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-26 05:49:00,05:49:00,CNR7821833718,Canceled by Customer,CID397095,eBike,Bannerghatta Road,Rajarajeshwari Nagar,,,AC is Not working,,,,504,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-01 18:37:00,18:37:00,CNR2276530436,Success,CID357524,eBike,Kadugodi,Magadi Road,231,120,,,No,,480,UPI,37,4.2,4.5,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-03 02:02:00,02:02:00,CNR7444972526,Success,CID841569,Prime Sedan,HSR Layout,Kengeri,91,135,,,No,,283,UPI,20,4.7,4,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-24 02:05:00,02:05:00,CNR6356634037,Canceled by Driver,CID299430,eBike,Ulsoor,BTM Layout,,,,Customer related issue,,,528,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-08 14:55:00,14:55:00,CNR4275922396,Success,CID454927,Bike,BTM Layout,Majestic,35,120,,,No,,744,UPI,26,4.6,3.7,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-15 09:09:00,09:09:00,CNR7975742882,Canceled by Customer,CID602529,Prime SUV,Kammanahalli,Shantinagar,,,Driver asked to cancel,,,,443,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-10 20:31:00,20:31:00,CNR1864563011,Driver Not Found,CID689397,Prime Sedan,Electronic City,Sahakar Nagar,,,,,,,1535,,0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-03 20:28:00,20:28:00,CNR6302478325,Driver Not Found,CID359351,Bike,Devanahalli,Sahakar Nagar,,,,,,,289,,0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-08 21:56:00,21:56:00,CNR3739191791,Success,CID577024,Prime Sedan,Kammanahalli,RT Nagar,70,60,,,No,,1895,UPI,11,3.7,4.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-15 16:48:00,16:48:00,CNR5399734560,Success,CID356988,Mini,Marathahalli,MG Road,35,60,,,No,,469,Credit Card,11,4.1,4.6,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-27 21:14:00,21:14:00,CNR7012664474,Success,CID530836,eBike,Majestic,Whitefield,84,75,,,No,,415,Cash,44,3.2,3.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-06 03:28:00,03:28:00,CNR1078761401,Success,CID274796,eBike,Peenya,Hosur Road,210,50,,,No,,195,Cash,21,3.2,4.9,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-19 10:09:00,10:09:00,CNR8324603783,Success,CID213437,Prime Sedan,KR Puram,Koramangala,112,130,,,No,,140,UPI,37,4.9,4.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-27 17:00:00,17:00:00,CNR6929498723,Success,CID362601,Prime Sedan,Hebbal,Sahakar Nagar,301,45,,,No,,375,UPI,4,5,3.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-05 02:35:00,02:35:00,CNR7718504651,Success,CID432023,Prime Sedan,Hebbal,Vijayanagar,231,110,,,No,,119,Cash,43,4.2,3.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-18 00:25:00,00:25:00,CNR7015185854,Driver Not Found,CID946824,eBike,Koramangala,Varthur,,,,,,,305,,0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-06 03:53:00,03:53:00,CNR5208642684,Success,CID517176,Prime SUV,Indiranagar,Sahakar Nagar,301,105,,,No,,204,UPI,5,4.9,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-05 02:33:00,02:33:00,CNR6188339898,Success,CID308439,eBike,KR Puram,Tumkur Road,35,140,,,No,,791,UPI,25,4.5,3.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-28 09:46:00,09:46:00,CNR8042505540,Success,CID571243,Mini,Sarjapur Road,Majestic,294,35,,,No,,204,Cash,41,3.3,3.2,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-03 05:23:00,05:23:00,CNR8681023003,Success,CID987563,Prime SUV,Ramamurthy Nagar,Electronic City,203,55,,,No,,1098,UPI,15,3.4,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-09 01:38:00,01:38:00,CNR2151163230,Success,CID330967,Prime Plus,Shantinagar,Rajajinagar,168,105,,,No,,228,Cash,37,3.2,4.3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-19 15:13:00,15:13:00,CNR2301770919,Success,CID459864,Prime Plus,Bannerghatta Road,Devanahalli,84,110,,,No,,561,UPI,46,4.7,4.8,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-23 06:07:00,06:07:00,CNR9023834226,Canceled by Driver,CID465241,Mini,Basavanagudi,Bellandur,,,,Customer related issue,,,186,,0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
